requirement_id,phase,requirement,implementation,test,evidence,historical_status,intrinsic_result,formal_result,reason_code,notes
P11-A01,P11,所有 PortfolioProposal 经 RiskDecision 后才能生成 OrderIntent,src/aegisquant/risk/engine.py,tests/risk/test_pretrade.py,reports/data/P11_PRETRADE_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P11-A02,P11,研究和模型进程无法导入或调用 Risk override,src/aegisquant/risk/__init__.py,tests/architecture/test_risk_boundaries.py,reports/data/P11_ARCHITECTURE_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P11-A03,P11,风险数据陈旧时拒绝新风险,src/aegisquant/risk/engine.py,tests/risk/test_decision_engine.py,reports/data/P11_RISK_DECISION_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P11-A04,P11,自动只能向更安全状态迁移,src/aegisquant/risk/state_machine.py,tests/risk/test_state_machine.py,reports/data/P11_STATE_REPLAY_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P11-A05,P11,所有约束在随机测试中满足,src/aegisquant/portfolio/optimizer.py,tests/property/test_portfolio_risk_properties.py,reports/data/P11_CONSTRAINT_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P11-A06,P11,Kill Switch 和 Reduce-only 行为可回放,src/aegisquant/risk/state_machine.py,tests/risk/test_state_machine.py,reports/data/P11_STATE_REPLAY_EVIDENCE.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P11-A07,P11,示例风险数值不能用于 Live 且未确认时仅允许 Paper,src/aegisquant/risk/policy.py,tests/risk/test_policy_signature.py,reports/risk/P11_SIGNED_RISK_POLICY.json,in_progress,PASS,READY_NOT_ISSUED_ATOMIC_AUDIT,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P12-A01,P12,Testnet 完成提交、部分成交、撤单、重连和重启恢复,src/aegisquant/execution/adapter.py,tests/integration/test_p12_execution_e2e.py,reports/execution/P12_TESTNET_CAPABILITY.json,blocked_external_input,BLOCKED_EXTERNAL_INPUT,BLOCKED_EXTERNAL_INPUT,AQ-SYSTEM-ACC-REAL-TESTNET-MISSING,任务书要求未提供 Testnet 凭据时将真实 Testnet 验收标记 blocked；当前仅有离线契约。
P12-A02,P12,超时后不重复经济订单,src/aegisquant/execution/recovery.py,tests/execution/test_adapter_recovery.py,reports/execution/P12_RECOVERY_EVIDENCE.json,in_progress,PASS,EVALUATED_PASS_PHASE_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P12-A03,P12,交易所和账本对账一致,src/aegisquant/execution/atomic.py,tests/integration/test_p12_atomic_fill.py,reports/execution/P12_ATOMIC_FILL_EVIDENCE.json,in_progress,PASS,EVALUATED_PASS_PHASE_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P12-A04,P12,规则变化和非法精度在本地被拒绝,src/aegisquant/execution/rules.py,tests/execution/test_rules.py,reports/execution/P12_RULE_EVIDENCE.json,in_progress,PASS,EVALUATED_PASS_PHASE_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P12-A05,P12,风险拒绝的意图无法到达 Adapter,src/aegisquant/execution/commands.py,tests/execution/test_commands.py,reports/execution/P12_COMMAND_EVIDENCE.json,in_progress,PASS,EVALUATED_PASS_PHASE_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P12-A06,P12,无 Live 域名、密钥或账户可用,src/aegisquant/execution/adapter.py,tests/security/test_p12_testnet_only.py,reports/execution/P12_TESTNET_CAPABILITY.json,in_progress,PASS,EVALUATED_PASS_PHASE_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P12-A07,P12,Chaos 场景不产生未知资金事实,src/aegisquant/execution/atomic.py,tests/chaos/test_p12_execution_failures.py,reports/execution/P12_ATOMIC_FILL_EVIDENCE.json,in_progress,PASS,EVALUATED_PASS_PHASE_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P13-A01,P13,完整链路连续运行且内存无持续泄漏,src/aegisquant/runtime/supervisor.py,tests/performance/test_p13_stability.py,reports/runtime/P13_STABILITY_EVIDENCE.json,in_progress,WAIVED_BY_OWNER,NOT_REACHED_DEPENDENCY_BLOCKED,P13-WAIVER-001,项目业主明确决定不执行 12h/24h 墙钟验收；加速逻辑周期不得冒充长稳证据。
P13-A02,P13,重启后状态恢复且无重复订单或账本,src/aegisquant/runtime/paper.py,tests/integration/test_p13_runtime_e2e.py,reports/runtime/P13_RECOVERY_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P13-A03,P13,数据陈旧和模型失败触发正确降级,src/aegisquant/runtime/supervisor.py,tests/chaos/test_p13_runtime_failures.py,reports/runtime/P13_CHAOS_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P13-A04,P13,Paper 成交误差有量化报告,src/aegisquant/runtime/comparison.py,tests/runtime/test_comparison.py,reports/runtime/P13_EXECUTION_ERROR_ANALYSIS.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P13-A05,P13,Shadow 无任何写交易权限,src/aegisquant/runtime/shadow.py,tests/security/test_p13_shadow_read_only.py,reports/runtime/P13_SHADOW_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P13-A06,P13,所有 SEV0/SEV1 演练有时间线和恢复证据,src/aegisquant/runtime/incidents.py,tests/chaos/test_p13_runtime_failures.py,reports/runtime/P13_INCIDENT_DRILLS.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P14-A01,P14,前端不连接交易核心数据库或交易所,apps/web/src/lib/api.ts,tests/security/test_p14_web_read_only.py,reports/web/P14_WEB_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P14-A02,P14,PnL 与风险由服务端权威 Read Model 提供,src/aegisquant/api/routes.py,tests/integration/test_p14_dashboard_flow.py,reports/read_models/P14_SNAPSHOT.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P14-A03,P14,WebSocket 丢序可通过 REST snapshot 恢复,src/aegisquant/api/stream.py,apps/web/tests/realtime.test.ts,reports/api/P14_WEBSOCKET_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P14-A04,P14,Overview 满足性能目标或有基准和改进计划,apps/web/app/overview/page.tsx,apps/web/e2e/dashboard.spec.ts,reports/performance/P14_OVERVIEW_BENCHMARK.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P14-A05,P14,所有通用组件有完整状态 Story,apps/web/src/components/component-gallery.stories.tsx,apps/web/tests/story-contract.test.ts,reports/web/P14_STORYBOOK_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P14-A06,P14,界面明确显示环境、Live lock、数据截至时间和权威状态,apps/web/src/components/app-shell.tsx,apps/web/e2e/dashboard.spec.ts,reports/web/P14_E2E_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P15-A01,P15,5 秒内判断权益、当日 PnL、风险、数据和对账状态,apps/web/app/overview/,apps/web/e2e/dashboard.spec.ts,reports/web/P15_USABILITY_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P15-A02,P15,任意订单可追溯完整决策链,src/aegisquant/api/routes.py; apps/web/app/execution/orders/,apps/web/e2e/dashboard.spec.ts,reports/web/P15_TRACE_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P15-A03,P15,任意 PnL 指标可解释公式、来源和截至时间,apps/web/app/performance/,apps/web/e2e/dashboard.spec.ts,reports/web/P15_USABILITY_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P15-A04,P15,大表和长时序不冻结浏览器,src/aegisquant/api/downsampling.py; apps/web/src/components/common.tsx,tests/p15/test_downsampling.py,reports/performance/P15_PERFORMANCE_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P15-A05,P15,红绿切换不改变语义文本或可访问性,apps/web/src/components/preferences.tsx,apps/web/tests/preferences.test.tsx,reports/web/P15_ACCESSIBILITY_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P15-A06,P15,默认无交易、Live 解锁或风险上限修改入口,src/aegisquant/api/; apps/web/,tests/security/test_p15_workbench_read_only.py,reports/security/P15_WEB_SAFETY_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P15-A07,P15,页面错误不会影响交易服务,apps/web/app/error.tsx; src/aegisquant/api/app.py,apps/web/e2e/dashboard.spec.ts,reports/web/P15_ROUTE_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P16-A01,P16,关键事件可在指标、日志和追踪中关联,src/aegisquant/observability/,tests/observability/test_correlation.py,reports/observability/P16_TELEMETRY_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P16-A02,P16,Promtail 未被使用,infra/alloy/; infra/loki/,tests/p16/test_infrastructure_contracts.py,reports/observability/P16_TELEMETRY_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P16-A03,P16,SEV0/SEV1 告警实际到达用户配置渠道,src/aegisquant/observability/alerts.py,tests/observability/test_alerts.py,reports/observability/P16_ALERT_EVIDENCE.json,in_progress,BLOCKED_EXTERNAL_INPUT,NOT_REACHED_DEPENDENCY_BLOCKED,AQ-SYSTEM-ACC-EXTERNAL-ALERT-MISSING,本地 SEV0 投递契约通过，但没有用户配置外部渠道的实际送达证据。
P16-A04,P16,从备份恢复成功并通过账本/对账验证,src/aegisquant/operations/backup.py,tests/operations/test_backup_restore.py,reports/operations/P16_RESTORE_DRILL.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P16-A05,P16,研究环境无法读取实盘秘密,src/aegisquant/security/; infra/compose/,tests/security/test_p16_operational_security.py,reports/security/P16_SECURITY_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P16-A06,P16,Dashboard 默认仅私网/localhost并可验证认证与 CSP,src/aegisquant/api/app.py; infra/reverse_proxy/,tests/security/test_p16_operational_security.py,reports/security/P16_SECURITY_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P16-A07,P16,发布可回滚且错误版本不会自动恢复交易,src/aegisquant/operations/release.py,tests/operations/test_release.py,reports/deployment/P16_RELEASE_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P17-A01,P17,选择基于 OOS、成本、许可和运维而非营销材料,src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/PROVIDER_DECISIONS.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P17-A02,P17,同类首期最多保留一家长期主源,src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/REGISTRY_GATE_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P17-A03,P17,负结果完整保留,src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/NEGATIVE_RESULTS.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P17-A04,P17,未购买 Provider 不成为系统硬依赖,src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/DEGRADATION_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P17-A05,P17,任何第三方聚合不替代官方交易事实,src/aegisquant/research/provider_bakeoff/,tests/research/provider_bakeoff/,reports/data/provider_bakeoff/OFFICIAL_CROSSCHECK.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P18-A01,P18,所有关键需求可追溯到代码、测试和运行证据,src/aegisquant/operations/live_readiness/,tests/p18/,reports/live_readiness/READINESS_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P18-A02,P18,无未解释账本或对账差异,src/aegisquant/operations/live_readiness/,tests/p18/,reports/live_readiness/PREPRODUCTION_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P18-A03,P18,无未处理 SEV0 或 SEV1,src/aegisquant/operations/live_readiness/,tests/p18/,reports/live_readiness/READINESS_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
P18-A04,P18,风险和执行 mutation 与 chaos 测试达标,src/aegisquant/operations/live_readiness/,tests/p18/,reports/live_readiness/READINESS_EVIDENCE.json,in_progress,PASS,NOT_REACHED_DEPENDENCY_BLOCKED,,实现、测试、运行证据与阶段 CI 均可解析且通过。
